table,column,total_rows,missing_count,missing_pct,report_phase
patient,patientunitstayid,2520,0,0.0,BEFORE
patient,patienthealthsystemstayid,2520,0,0.0,BEFORE
patient,gender,2520,4,0.16,BEFORE
patient,age,2520,4,0.16,BEFORE
patient,admissionheight,2520,73,2.9,BEFORE
patient,admissionweight,2520,200,7.94,BEFORE
patient,ethnicity,2520,39,1.55,BEFORE
patient,unitadmitsource,2520,22,0.87,BEFORE
patient,unitvisitnumber,2520,0,0.0,BEFORE
patient,hospitaladmitoffset,2520,0,0.0,BEFORE
patient,unitdischargeoffset,2520,0,0.0,BEFORE
patient,unitdischargestatus,2520,2,0.08,BEFORE
patient,hospitaldischargestatus,2520,28,1.11,BEFORE
vitals,patientunitstayid,1629497,0,0.0,BEFORE
vitals,observationoffset,1629497,0,0.0,BEFORE
vitals,heartrate,1629497,1603,0.1,BEFORE
vitals,systemicsystolic,1629497,1403022,86.1,BEFORE
vitals,systemicdiastolic,1629497,1403026,86.1,BEFORE
vitals,systemicmean,1629497,1401097,85.98,BEFORE
vitals,respiration,1629497,248146,15.23,BEFORE
vitals,temperature,1629497,1516677,93.08,BEFORE
labs,patientunitstayid,108330,0,0.0,BEFORE
labs,labresultoffset,108330,0,0.0,BEFORE
labs,labname,108330,0,0.0,BEFORE
labs,labresult,108330,0,0.0,BEFORE
diagnosis,patientunitstayid,3821,0,0.0,BEFORE
diagnosis,diagnosisstring,3821,0,0.0,BEFORE
medication,patientunitstayid,8114,0,0.0,BEFORE
medication,drugname,8114,0,0.0,BEFORE
medication,drugstartoffset,8114,0,0.0,BEFORE
respiratory,patientunitstayid,42282,0,0.0,BEFORE
respiratory,respchartoffset,42282,0,0.0,BEFORE
respiratory,respchartvaluelabel,42282,0,0.0,BEFORE
respiratory,respchartvalue,42282,87,0.21,BEFORE
patient,patientunitstayid,2520,0,0.0,AFTER
patient,patienthealthsystemstayid,2520,0,0.0,AFTER
patient,gender,2520,0,0.0,AFTER
patient,age,2520,0,0.0,AFTER
patient,admissionheight,2520,0,0.0,AFTER
patient,admissionweight,2520,0,0.0,AFTER
patient,ethnicity,2520,0,0.0,AFTER
patient,unitadmitsource,2520,0,0.0,AFTER
patient,unitvisitnumber,2520,0,0.0,AFTER
patient,hospitaladmitoffset,2520,0,0.0,AFTER
patient,unitdischargeoffset,2520,0,0.0,AFTER
patient,unitdischargestatus,2520,2,0.08,AFTER
patient,hospitaldischargestatus,2520,28,1.11,AFTER
vitals,patientunitstayid,1629497,0,0.0,AFTER
vitals,observationoffset,1629497,0,0.0,AFTER
vitals,heartrate,1629497,0,0.0,AFTER
vitals,systemicsystolic,1629497,0,0.0,AFTER
vitals,systemicdiastolic,1629497,0,0.0,AFTER
vitals,systemicmean,1629497,0,0.0,AFTER
vitals,respiration,1629497,0,0.0,AFTER
vitals,temperature,1629497,0,0.0,AFTER
labs,patientunitstayid,108330,0,0.0,AFTER
labs,labresultoffset,108330,0,0.0,AFTER
labs,labname,108330,0,0.0,AFTER
labs,labresult,108330,0,0.0,AFTER
diagnosis,patientunitstayid,3821,0,0.0,AFTER
diagnosis,diagnosisstring,3821,0,0.0,AFTER
medication,patientunitstayid,8114,0,0.0,AFTER
medication,drugname,8114,0,0.0,AFTER
medication,drugstartoffset,8114,0,0.0,AFTER
respiratory,patientunitstayid,42282,0,0.0,AFTER
respiratory,respchartoffset,42282,0,0.0,AFTER
respiratory,respchartvaluelabel,42282,0,0.0,AFTER
respiratory,respchartvalue,42282,87,0.21,AFTER
